month_date,gross_ret,n_cohorts,n_positions,cost,net_ret,bench_ret,value_gross,value_net,value_bench,peak,drawdown,excess
2017-08-31,-0.002493629999999998,6,900,6.666666666666666e-4,-0.0031602966666666645,-0.0027537486397700888,255820.64898717488,241711.74795367385,397264.0632038952,242478.05052849886,-0.0031602966666665067,-4.0654802689657574e-4
2017-09-30,0.054069412222222224,6,900,6.666666666666666e-4,0.053402745555555554,0.060085719356283,269652.72111221886,254619.8189274324,421133.960215901,254619.8189274324,0,-0.0066829738007274445
2017-10-31,-0.0010840266666666662,6,900,6.666666666666666e-4,-0.001750693333333333,0.015306423376304593,269360.410371794,254174.0577079016,427580.01490910543,254619.8189274324,-0.0017506933333333308,-0.017057116709637925
2017-11-30,0.028562263333333334,6,900,6.666666666666666e-4,0.027895596666666668,0.03945028705268335,277053.9533444079,261264.39470485132,444448.1692352603,261264.39470485132,0,-0.011554690386016683
2017-12-31,0.017175496666666668,6,900,6.666666666666666e-4,0.016508830000000002,0.01163279918053105,281812.4925965616,265577.5641820866,449618.3455341287,265577.5641820866,0,0.004876030819468953
2018-01-31,0.04500543666666667,6,900,6.666666666666666e-4,0.04433877,0.04346093893557423,294495.58688399155,277352.9467175164,469159.1809937014,277352.9467175164,0,8.778310644257728e-4
2018-02-28,-0.03799076111111111,6,900,6.666666666666666e-4,-0.03865742777777778,-0.031281894789884815,283307.47539440537,266631.19521083013,454482.99285414786,277352.9467175164,-0.03865742777777792,-0.007375532987892966
2018-03-31,0.004307285555555557,6,900,6.666666666666666e-4,0.003640618888888891,0.005739109706425411,284527.7615909526,267601.8977764817,457091.32060984237,277352.9467175164,-0.03515754585065267,-0.0020984908175365204
2018-04-30,0.018449214444444445,6,900,6.666666666666666e-4,0.01778254777777778,0.009292890857142855,289777.07527994184,272360.541309116,461339.0203640169,277352.9467175164,-0.018000188811713502,0.008489656920634924
2018-05-31,0.0645575586002489,6,900,6.666666666666666e-4,0.06389089193358223,0.05401824815294672,308484.3757983354,289761.8992208687,486259.7460486777,289761.8992208687,0,0.009872643780635508
2018-06-30,0.014971807777777778,6,900,6.666666666666666e-4,0.014305141111111112,0.014826931399888454,313102.9445752359,293906.9840778468,493469.48594586866,293906.9840778468,0,-5.217902887773417e-4
2018-07-31,0.011092650000000003,6,900,6.666666666666666e-4,0.010425983333333336,0.02700667835772018,316576.08595337835,296971.2533953927,506796.4576321581,296971.2533953927,0,-0.016580695024386843
2018-08-31,0.05510235333333333,6,900,6.666666666666666e-4,0.05443568666666666,0.04741471636125915,334020.1732984651,313137.0874942316,530826.0679236777,313137.0874942316,0,0.007020970305407513
2018-09-30,-0.02439806222222222,6,900,6.666666666666666e-4,-0.025064728888888888,-0.010483744761951514,325870.7283268517,305288.3912911324,525261.0229145756,313137.0874942316,-0.025064728888889,-0.014580984126937374
2018-10-31,-0.11485526333333333,6,900,6.666666666666666e-4,-0.11552193,-0.09679844672586016,288442.760012246,270020.88712258555,474416.5717708082,313137.0874942316,-0.13769113303271774,-0.018723483274139835
2018-11-30,0.01884197222222222,6,900,6.666666666666666e-4,0.018175305555555552,0.026369362685745735,293877.5904840979,274928.59925242077,486926.6344159608,313137.0874942316,-0.12201840589232238,-0.008194057130190183
2018-12-31,-0.12474500183064889,6,900,6.666666666666666e-4,-0.12541166849731555,-0.10745099213204838,257217.8299211724,240449.34490254486,434605.88445244665,313137.0874942316,-0.23212754251929912,-0.017960676365267172
2019-01-31,0.12439748456931111,6,900,6.666666666666666e-4,0.12373081790264445,0.13005405758876654,289215.08094974316,270200.33901149174,491128.14317744196,313137.0874942316,-0.13711805531029853,-0.006323239686122084
2019-02-28,0.05065453888888889,6,900,6.666666666666666e-4,0.04998787222222222,0.05704148651064441,303865.137514965,283707.07903239934,519142.8225314958,313137.0874942316,-0.09398442291628706,-0.007053614288422189
